count,mean,std,min,25%,50%,75%,max
7500.0,3749.5,2165.2078422174627,0.0,1874.75,3749.5,5624.25,7499.0
7500.0,3749.5,2165.2078422174627,0.0,1874.75,3749.5,5624.25,7499.0
7500.0,855.8481,18.417352394935378,821.25,841.75,852.4,867.6,898.95
7500.0,856.2355866666667,18.43785069273471,822.35,842.1,852.8,867.95,899.0
7500.0,855.4310333333333,18.390004501566366,821.05,841.3,852.0,867.2,897.5
7500.0,855.8531133333335,18.419669012625974,821.4,841.75,852.4,867.6125,899.0
7500.0,44657.032133333334,54822.03471211095,2160.0,14755.75,27165.0,53397.25,1177359.0
